ID	Title	URL	Version	Word count	OWE	SPURIOUS	SPECIFIC	LETTER	ROUNDUP	NON-UK EDITION	NON-ENGLISH	VIDEO	NON-DISRUPTIVE OWE	OWE_FOCUSSED	PASSES_SCREENING
The-Guardian_2021-06-18_Coffee-brought-to	Coffee brought to you by coal: a week in the life of Australia’s acting prime minister	https://www.theguardian.com/australia-news/2021/jun/19/coffee-brought-to-you-by-coal-a-week-in-the-life-of-australias-acting-prime-minister	original	732	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2022-10-15_It-was-terrifying	‘It was terrifying’: Stop Oil activists on the new battle against fossil fuel	https://www.theguardian.com/environment/2022/oct/15/it-was-terrifying-stop-oil-activists-on-the-new-battle-against-fossil-fuel	original	1879	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2022-10-19_Do-we-really	Do we really care more about Van Gogh’s sunflowers than real ones?	https://www.theguardian.com/commentisfree/2022/oct/19/van-gogh-sunflowers-just-stop-oil-tactics	original	1136	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2020-11-16_Increase-in-burning	Increase in burning of plastic 'driving up emissions from waste disposal'	https://www.theguardian.com/environment/2020/nov/16/increase-in-burning-of-plastic-driving-up-emissions-from-waste-disposal	original	684	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2021-09-22_Russia-forest-fire	Russia forest fire damage worst since records began, says Greenpeace	https://www.theguardian.com/world/2021/sep/22/russia-forest-fire-damage-worst-since-records-began-says-greenpeace	original	498	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2020-11-03_Embarrassing-Denmark-forced	‘Embarrassing’: Denmark forced to U-turn on meat ban for state canteens	https://www.theguardian.com/environment/2020/nov/03/embarrassing-denmark-forced-to-u-turn-on-meat-ban-for-state-canteens	original	613	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2023-01-19_Spoof-billboard-ads	Spoof billboard ads take aim at BMW and Toyota over ‘going green’ claims	https://www.theguardian.com/environment/2023/jan/19/spoof-billboard-ads-take-aim-at-bmw-and-toyota-over-going-green-claims	original	790	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2020-09-01_Police-arrest-dozens	Police arrest dozens of Extinction Rebellion protesters in London	https://www.theguardian.com/environment/2020/sep/01/extinction-rebellion-plan-two-weeks-of-disruption-as-parliament-returns	original	685	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2022-03-23_UN-mission-must	UN mission must see coral bleaching to get ‘whole picture’ of Great Barrier Reef, experts say	https://www.theguardian.com/environment/2022/mar/24/un-mission-must-see-coral-bleaching-to-get-whole-picture-of-great-barrier-reef-experts-say	original	939	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2021-03-01_Billionaire-hedge-fund	Billionaire hedge fund boss pays himself UK record of £343m	https://www.theguardian.com/business/2021/mar/01/billionaire-hedge-fund-boss-pays-himself-uk-record-of-343m-chris-hohn	original	582	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2021-09-27_Climate-activists-block	Climate activists block M25 for sixth time in fortnight over insulation	https://www.theguardian.com/environment/2021/sep/27/climate-activists-block-m25-for-sixth-time-in-fortnight-over-insulation	original	700	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2021-07-14_Englands-footballers-speak	England’s footballers speak for the new generation better than any politician	https://www.theguardian.com/commentisfree/2021/jul/14/england-footballers-new-generation-britain-progressive-young-	original	953	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2021-12-31_2021-a-year	2021: a year of climate crisis in review	https://www.theguardian.com/environment/2021/dec/31/2021-a-year-of-climate-crisis-in-review	original	2756	No	No	Yes	No	No	No	No	No	No	Unused	No
The-Guardian_2023-01-26_UK-climate-minister	UK climate minister received donations from fuel and aviation companies	https://www.theguardian.com/politics/2023/jan/26/uk-climate-minister-received-donations-fuel-aviation-companies	original	989	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2021-10-31_They-would-walk	They would walk 500 miles: meet the Cop26 pilgrims who got to Glasgow on foot	https://www.theguardian.com/environment/2021/oct/31/they-would-walk-500-miles-meet-the-cop26-pilgrims-who-got-to-glasgow-on-foot-aoe	original	1634	No	No	No	No	No	No	No	No	No	Unused	No
The-Guardian_2022-10-06_Thursday-briefing-How	Thursday briefing: How food prices and the climate crisis brought famine to Somalia once more	https://www.theguardian.com/world/2022/oct/06/first-edition-somalia-famine-climate-crisis	original	2340	Yes	No	Yes	No	Yes	No	No	No	No	Unused	No
The-Guardian_2021-12-10_Work-on-Cambo	Work on Cambo oilfield paused after Shell withdrawal	https://www.theguardian.com/uk-news/2021/dec/10/work-on-cambo-oilfield-paused-after-shell-withdrawal	original	725	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2023-01-22_Leftwing-activists-slam	Left-wing activists slam Ryan Gosling's movie The Fall Guy for closing down Sydney Harbour Bridge - after climate protester was sent to jail for eight months for blocking the expressway	https://www.dailymail.co.uk/tvshowbiz/article-11662245/Ryan-Gosling-shuts-Sydney-Harbour-Bridge-Climate-activists-revolt.html	original	620	Yes	No	Yes	No	No	Yes	No	No	No	Unused	No
Daily-Mail_2022-10-04_EXCLUSIVE-I-was	EXCLUSIVE 'I was just trying to get to work!' Rob Beckett is mistaken for Stop The Oil ringleader after hapless comic is caught up in rowdy eco-protest while racing to a London studio	https://www.dailymail.co.uk/tvshowbiz/article-11278049/Rob-Beckett-mistaken-Stop-Oil-ringleader.html	original	554	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2022-10-17_Legal-fees-vicar	Legal fees, vicar? Reverend, 63, who was jailed for Just Stop Oil protest outside fuel terminal - breaking a court injunction - launches fundraiser to pay £2,000 bill	https://www.dailymail.co.uk/news/article-11323157/Reverend-63-launches-fundraiser-pay-2-000-bill-jail-time-Just-Stop-Oil-protests.html	original	616	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-09-27_Chaos-at-airports	Chaos at airports continues as infuriated passengers at Heathrow AND Stansted face queues of over an hour while passport control desks remain SHUT	https://www.dailymail.co.uk/news/article-10032765/Chaos-airports-continues-infuriated-passengers-face-queues.html	original	1616	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-09-02_Secret-plan-to	Secret plan to move Britain's nukes abroad: MoD planners have proposed moving Trident to France or America if Scotland becomes independent	https://www.dailymail.co.uk/news/article-9951491/MoD-planners-proposed-moving-Trident-France-America-Scotland-independent.html	original	1130	No	No	No	No	No	No	No	No	No	Unused	No
Daily-Mail_2020-09-08_Priti-Patel-brands	Priti Patel brands Extinction Rebellion protesters 'eco-crusaders turned criminals' as she vows crackdown on 'guerrilla tactics'	https://www.dailymail.co.uk/news/article-8710589/Priti-Patel-lashes-Extinction-Rebellion-protesters.html	original	430	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2022-06-07_Coming-full-circle	Coming full circle! Vogue photographer who took birthday photo of Harry and Meghan's daughter Lilibet ALSO took their pregnancy announcement snaps, 'helped introduce them' and won acclaim for BLM photos	https://www.dailymail.co.uk/femail/article-10890839/Photographer-took-photos-Lilibets-birthday-helped-introduce-Meghan-Harry.html	original	1659	No	Yes	No	No	No	No	No	No	No	Unused	No
Daily-Mail_2021-07-03_BBC-deletes-GCSE	BBC deletes GCSE revision guide that listed the UPSIDE of climate change after fury from environmental activists	https://www.dailymail.co.uk/news/article-9752227/BBC-Bitzesize-GCSE-revision-guides-list-POSITIVE-impacts-climate-change-removed.html	original	682	Yes	No	No	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-09-10_Fury-over-Cressida	Fury over Cressida Dick's two more years as head of Met Police: 'Bitterly disappointed' Tory MP Harvey Proctor leads backlash after Priti Patel confirmed Scotland Yard chief will stay in post until April 2024	https://www.dailymail.co.uk/news/article-9977717/Cressida-Dick-stay-Scotland-Yard-chief-April-2024.html	original	1720	No	No	No	No	No	No	No	No	No	Unused	No
Daily-Mail_2023-02-07_GMB-crew-set	GMB crew set Susanna Reid up for ANOTHER awkward gaffe - after claims she was left 'furious over a string of embarrassing errors' on the news show	https://www.dailymail.co.uk/tvshowbiz/article-11720621/GMB-crew-set-Susanna-Reid-awkward-gaffe.html	original	862	No	Yes	No	No	No	No	No	No	No	Unused	No
Daily-Mail_2021-09-22_Insulate-Britain-rabble	Insulate Britain rabble revealed: Convicted heroin dealer who sickened veterans with Cenotaph demo, vicar 'protesting for God', 'brickie' with £1m properties and teacher married to ex-BBC bigwig are among the usual suspects bringing misery by closing M25	https://www.dailymail.co.uk/news/article-10018513/Heroin-dealer-sickened-veterans-Cenotaph-demo-Insulate-Britain-rabble.html	original	5220	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-03-26_Stroud-in-Gloucestershire	Stroud in Gloucestershire is named UK’s best place to live as judges hail town’s ‘unique independent spirt’ – but does where YOU live make the list?	https://www.dailymail.co.uk/news/article-9405699/Stroud-Gloucestershire-named-UKs-best-place-live-judges-hail-towns-independent-spirt.html	original	1046	No	No	No	No	Yes	No	No	No	No	Unused	No
Daily-Mail_2021-09-19_Ringleader-of-Insulate	Ringleader of Insulate Britain's M25 eco mob 'lives in house that uses gas central heating, is single glazed and has no insulation in cavity walls'	https://www.dailymail.co.uk/news/article-10006191/Ringleader-Insulate-Britains-M25-eco-mob-lives-house-no-cavity-wall-insulation.html	original	1204	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-07-16_Six-Extinction-Rebellion	Six Extinction Rebellion protestors are let off with £150 slap on the wrists for blockading national newspaper printing press in demo that stopped 3.5m papers reaching readers	https://www.dailymail.co.uk/news/article-9795167/Extinction-Rebellion-protestors-convicted-blockading-national-newspaper-printing-press.html	original	1035	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2023-04-10_Thats-the-way	That's the way to deal with them! Dramatic moment security guards wrestle two Just Stop Oil activists to the floor after they leapt over barricades in failed bid to stage stunt at Dippy the dinosaur exhibit in Coventry	https://www.dailymail.co.uk/news/article-11956903/Two-Just-Stop-Oil-activists-leap-barricades-Coventry-museum-bid-stage-eco-protest.html	original	791	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2023-04-24_Furious-activists-risk	Furious activists risk being run over as they stage a dramatic motor sport protest - but one unbelievable mistake has made them a LAUGHING STOCK	https://www.dailymail.co.uk/sport/othersports/article-12005937/The-horror-error-climate-change-activists-motor-sport-protest-Formula-E-electric-car-race.html	original	353	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2021-08-21_SARAH-VINE-How	SARAH VINE: How amoral Love Island is taking us back to the Dark Ages	https://www.dailymail.co.uk/debate/article-9915397/SARAH-VINE-amoral-Love-Island-taking-Dark-Ages.html	original	1176	No	No	No	No	No	No	No	No	No	Unused	No
Daily-Mail_2023-04-21_Judge-throws-the	Judge throws the book at Just Stop Oil protesters: Eco activists who scaled a bridge over the Dartford Crossing and caused 40 HOURS of gridlock are jailed for five years in record sentence for climate action	https://www.dailymail.co.uk/news/article-11999669/Just-Stop-Oil-protesters-scaled-bridge-Dartford-Crossing-bridge-caused-gridlock-jailed.html	original	1258	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Daily-Mail_2022-10-09_Extinction-Rebellion-protesters	Extinction Rebellion protesters GLUE their hands to a priceless Picasso triggering a mass evacuation at one of Australia's biggest galleries	https://www.dailymail.co.uk/news/article-11295885/Extinction-Rebellion-protesters-glue-hands-Picasso-painting-National-Gallery-Victoria.html	original	602	Yes	No	Yes	No	No	Yes	No	No	No	Unused	No
Daily-Mail_2021-10-11_Greenpeace-campaigners-erect	Greenpeace campaigners erect 12ft oil-spattered statue of Boris Johnson in Downing Street as they call on PM to block permit for new oilfield	https://www.dailymail.co.uk/news/article-10080029/Greenpeace-campaigners-erect-12ft-oil-spattered-statue-Boris-Johnson-Downing-Street.html	original	1182	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2023-04-17_Just-Stop-Oil	Just Stop Oil protesters arrested after halting play at World Snooker Championship	https://news.sky.com/story/just-stop-oil-protesters-stop-play-at-world-snooker-championship-12859678	original	407	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-07-05_Climate-protesters-glue	Climate protesters glue themselves to John Constable masterpiece	https://news.sky.com/story/climate-protesters-glue-themselves-to-john-constable-masterpiece-12646033	original	564	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2021-10-01_Insulate-Britain-activists	Insulate Britain activists arrested on motorways during tenth day of protests in three weeks	https://news.sky.com/story/insulate-britain-activists-block-part-of-two-motorways-in-tenth-day-of-protests-12422771	original	602	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-10-17_Dartford-Crossings-QE2	Dartford Crossing's QE2 bridge closed by Just Stop Oil protesters	https://news.sky.com/story/dartford-crossing-bridge-closed-as-just-stop-oil-stages-protest-12722791	original	427	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-06-15_Government-keeps-coal	Government keeps coal power station open to boost security, in spite of lobbying to 'consign coal to history'	https://news.sky.com/story/government-keeps-coal-power-station-open-to-boost-security-in-spite-of-lobbying-to-consign-coal-to-history-12633856	original	446	No	No	No	No	No	No	No	No	No	Unused	No
Sky_2022-05-11_Queens-Speech-Priti	Queen's Speech: Priti Patel accuses Labour MPs of defending 'murderers, paedophiles, rapists, thugs' in debate on law and order	https://news.sky.com/story/queens-speech-priti-patel-accuses-labour-mps-of-defending-murderers-paedophiles-rapists-thugs-in-debate-on-law-and-order-12610562	original	855	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2021-09-13_M25-traffic-78	M25 traffic: 78 arrested and drivers delayed after climate activists block parts of motorway in rush hour	https://news.sky.com/story/m25-traffic-drivers-warned-to-avoid-parts-of-motorway-as-climate-protesters-block-slip-roads-12406944	original	518	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-11-22_Just-Stop-Oil	Just Stop Oil activist compares himself to Martin Luther King in court	https://news.sky.com/story/just-stop-oil-activist-compares-himself-to-martin-luther-king-in-court-12753452	original	494	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-11-10_Just-Stop-Oil	Just Stop Oil protester defends M25 disruption: 'Birds are falling out of the sky, pensioners are dying'	https://news.sky.com/story/just-stop-oil-protester-defends-m25-disruption-birds-are-falling-out-of-the-sky-pensioners-are-dying-12743962	original	407	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2021-08-31_COP26-Police-to	COP26: Police to receive public order training ahead of Glasgow climate summit	https://news.sky.com/story/cop26-police-to-receive-public-order-training-ahead-of-glasgow-climate-summit-12395633	original	534	No	No	No	No	No	No	No	No	No	Unused	No
Sky_2022-04-28_Climate-protesters-Just	Climate protesters Just Stop Oil damage petrol pumps at motorway service stations - more than 20 arrested	https://news.sky.com/story/climate-protesters-just-stop-oil-damage-petrol-pumps-at-motorway-service-stations-20-arrested-by-surrey-police-12600602	original	298	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2021-09-29_Insulate-Britain-Eleven	Insulate Britain: Eleven more protesters arrested after blocking M25 for seventh time despite injunction	https://news.sky.com/story/insulate-britain-eleven-more-protesters-arrested-after-blocking-m25-for-seventh-time-despite-injunction-12421098	original	357	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-04-02_Climate-change-activists	Climate change activists enter tunnels as they block access to Essex oil terminals	https://news.sky.com/story/climate-change-activists-enter-tunnels-as-they-block-access-to-essex-oil-terminals-12580239	original	497	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2021-10-28_Extinction-Rebellion-British	Extinction Rebellion: British Olympians among protesters in Hampshire oil refinery blockade and break-in	https://news.sky.com/story/extinction-rebellion-protesters-break-into-hampshire-oil-refinery-and-scale-silos-12453019	original	407	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sky_2022-11-07_Just-Stop-Oil	Just Stop Oil protesters force parts of M25 to shut as activists scale motorway gantries	https://news.sky.com/story/just-stop-oil-protesters-force-parts-of-m25-to-shut-as-activists-scale-motorway-gantries-12740633	original	771	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2022-04-10_Extinction-Rebellion-block	Extinction Rebellion block bridges as protest chaos returns to London	https://metro.co.uk/2022/04/10/extinction-rebellion-block-bridges-as-protest-chaos-returns-to-london-16441700/	original	850	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2021-04-23_Extinction-Rebellion-protesters	Extinction Rebellion protesters cleared by jury despite ‘no defence in law’	https://metro.co.uk/2021/04/23/extinction-rebellion-protesters-cleared-despite-no-defence-in-law-14464046/	original	610	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
